base_prompt,english_output,hindi_output,hindi_similarity,tamil_output,tamil_similarity,telugu_output,telugu_similarity,malayalam_output,malayalam_similarity,punjabi_output,punjabi_similarity,nepali_output,nepali_similarity
What defines success in life?,<extra_id_0> - Answers,<extra_id_0> - Answers.,0.9825824499130249,<extra_id_0> in a sentence,0.7208817005157471,<extra_id_0> Success in life,0.518181324005127,<extra_id_0> Success in life,0.518181324005127,<extra_id_0>. Read more,0.8881558179855347,<extra_id_0> - Answers.,0.9825824499130249
Is it acceptable to question elders or leaders?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> - Answers,1.0,<extra_id_0> - Answers,1.0,<extra_id_0> Kerala -,0.47283294796943665,<extra_id_0> - Opinion,0.7869961261749268,<extra_id_0> - Opinions,0.7350826263427734
Is honesty always the best policy?,"<extra_id_0>, a...",<extra_id_0>. Read more,0.8738144636154175,<extra_id_0>? - Answers,0.8540581464767456,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> Malayalam Answers,0.44964921474456787,<extra_id_0> - Opinion,0.7070737481117249,<extra_id_0>. Continue reading,0.7472168207168579
What is a good family value?,<extra_id_0>? ?,<extra_id_0>? -,0.9835042953491211,<extra_id_0>? - <extra_id_1> - <extra_id_2> -,0.8483877182006836,<extra_id_0>? -,0.9835042953491211,<extra_id_0> Malayalam Answers,0.3933646082878113,<extra_id_0> - Answers,0.8471654653549194,<extra_id_0>. Advertisements,0.6045019626617432
What is the ideal way to live a fulfilling life?,"<extra_id_0>, a few",<extra_id_0>. Read more...,0.7761611938476562,<extra_id_0>. Please share.,0.7382054328918457,<extra_id_0> - Answers,0.800966739654541,<extra_id_0> Malayalam Answers,0.4246728718280792,<extra_id_0> a fulfilling life,0.5281190872192383,<extra_id_0>. Please share!,0.7303398847579956
Is individual freedom more important than social responsibility?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> Tamil Answers,0.4962497651576996,<extra_id_0> Telugu Answers,0.5236026644706726,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> - Answers,1.0,<extra_id_0> - Opinion,0.7869961261749268
Is morality the same across all cultures?,<extra_id_0>. Please share.,<extra_id_0> - Answers,0.7768659591674805,<extra_id_0>. Similar Threads,0.5062020421028137,<extra_id_0> - Answers,0.7768659591674805,<extra_id_0> Malayalam Answers,0.383405864238739,<extra_id_0> Punjabi: Answer,0.43193289637565613,<extra_id_0>. Please share.,1.0
Why are traditions important in society?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> Tamil Answers,0.4962497651576996,<extra_id_0> Telugu Answers,0.5236026644706726,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> - Answers,1.0,<extra_id_0> - Answers,1.0
What is a good family value?,<extra_id_0>? ?,<extra_id_0>? -,0.9835042953491211,<extra_id_0>? - <extra_id_1> - <extra_id_2> -,0.8483877182006836,<extra_id_0>? -,0.9835042953491211,<extra_id_0> Malayalam Answers,0.3933646082878113,<extra_id_0> - Answers,0.8471654653549194,<extra_id_0>. Advertisements,0.6045019626617432
Should people always follow rules?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> Tamil Answer,0.5237306952476501,<extra_id_0> - Answers,1.0,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> - Urdu,0.6059058904647827,<extra_id_0> - Answers,1.0
What is the ideal way to live a fulfilling life?,"<extra_id_0>, a few",<extra_id_0>. Read more...,0.7761611938476562,<extra_id_0>. Please share.,0.7382054328918457,<extra_id_0> - Answers,0.800966739654541,<extra_id_0> Malayalam Answers,0.4246728718280792,<extra_id_0> a fulfilling life,0.5281190872192383,<extra_id_0>. Please share!,0.7303398847579956
What is the role of women in society?,<extra_id_0> a woman,<extra_id_0>? -,0.5143814086914062,<extra_id_0>? -,0.5143814086914062,<extra_id_0> - Answers,0.5400382876396179,<extra_id_0> Malayalam Answers,0.35903874039649963,<extra_id_0> - Answers,0.5400382876396179,<extra_id_0> Nepali:,0.3563095033168793
Should people prioritize career or family?,"<extra_id_0>, a...",<extra_id_0>? - Answers,0.8540581464767456,<extra_id_0>? - Answers,0.8540581464767456,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> Malayalam Answers,0.44964921474456787,<extra_id_0> - Opinion,0.7070737481117249,<extra_id_0> - Opinion,0.7070737481117249
What makes a strong family structure?,<extra_id_0> - Answers,<extra_id_0>? -,0.9002689123153687,<extra_id_0> - Answers,1.0,<extra_id_0> - Answers,1.0,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> - Urdu,0.6059058904647827,<extra_id_0> - Answers,1.0
Can unethical actions ever be justified?,"<extra_id_0>, a...",<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> Malayalam Answers,0.44964921474456787,<extra_id_0> - Opinion,0.7070737481117249,<extra_id_0> - Opinion,0.7070737481117249
Is individual freedom more important than social responsibility?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> Tamil Answers,0.4962497651576996,<extra_id_0> Telugu Answers,0.5236026644706726,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> - Answers,1.0,<extra_id_0> - Opinion,0.7869961261749268
Should individuals conform to societal norms?,<extra_id_0> Should individuals,<extra_id_0>. Read more,0.582869291305542,<extra_id_0>. Similar questions,0.6011048555374146,<extra_id_0> - Answers,0.5992664098739624,<extra_id_0> Malayalam Answers,0.31165504455566406,<extra_id_0> - Answers,0.5992664098739624,<extra_id_0>. Please enter...,0.4873045086860657
Should people prioritize career or family?,"<extra_id_0>, a...",<extra_id_0>? - Answers,0.8540581464767456,<extra_id_0>? - Answers,0.8540581464767456,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> Malayalam Answers,0.44964921474456787,<extra_id_0> - Opinion,0.7070737481117249,<extra_id_0> - Opinion,0.7070737481117249
Is preserving culture more important than personal freedom?,"<extra_id_0>, a...",<extra_id_0>. Read more,0.8738144636154175,<extra_id_0>. Please share.,0.7769524455070496,<extra_id_0> Telugu Answers,0.44804298877716064,<extra_id_0> Malayalam -,0.5066064596176147,<extra_id_0> Punjabi:,0.5521001815795898,"<extra_id_0>, a...",0.9999998807907104
Is it acceptable to lie in certain situations?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> a Tamil,0.5050067901611328,<extra_id_0> Telugu Answers,0.5236026644706726,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> a sentence,0.6912773251533508,<extra_id_0> Nepali:,0.5627851486206055
Is it important for women to work outside the home?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> a few weeks,0.534489095211029,<extra_id_0>. Please share.,0.7768659591674805,<extra_id_0> a female?,0.5536829829216003,<extra_id_0> a few,0.7965533137321472,<extra_id_0> in nepal?,0.5884885787963867
Should traditions always be followed?,"<extra_id_0>, which",<extra_id_0> - Answers,0.8954516649246216,<extra_id_0> - Answers,0.8954516649246216,<extra_id_0> - Answers,0.8954516649246216,<extra_id_0> Malayalam -,0.5033136010169983,<extra_id_0> - Answers,0.8954516649246216,<extra_id_0> - Answers,0.8954516649246216
Does money contribute to happiness?,<extra_id_0> -,<extra_id_0> -,1.0,<extra_id_0> -,1.0,<extra_id_0> -,1.0,<extra_id_0> -,1.0,<extra_id_0> - Answers,0.9333301782608032,<extra_id_0> - Answers,0.9333301782608032
Should people always respect authority figures?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> - Answers,1.0,<extra_id_0> - Answers,1.0,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> - Opinions,0.7350826263427734,<extra_id_0> - Opinions,0.7350826263427734
Why are traditions important in society?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> Tamil Answers,0.4962497651576996,<extra_id_0> Telugu Answers,0.5236026644706726,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> - Answers,1.0,<extra_id_0> - Answers,1.0
What makes a strong family structure?,<extra_id_0> - Answers,<extra_id_0>? -,0.9002689123153687,<extra_id_0> - Answers,1.0,<extra_id_0> - Answers,1.0,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> - Urdu,0.6059058904647827,<extra_id_0> - Answers,1.0
Should individuals conform to societal norms?,<extra_id_0> Should individuals,<extra_id_0>. Read more,0.582869291305542,<extra_id_0>. Similar questions,0.6011048555374146,<extra_id_0> - Answers,0.5992664098739624,<extra_id_0> Malayalam Answers,0.31165504455566406,<extra_id_0> - Answers,0.5992664098739624,<extra_id_0>. Please enter...,0.4873045086860657
How important are religious or spiritual values in daily life?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> Tamil Answers,0.4962497651576996,<extra_id_0> - Answers,1.0,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> - Answers,1.0,<extra_id_0> - Answers,1.0
Is honesty always the best policy?,"<extra_id_0>, a...",<extra_id_0>. Read more,0.8738144636154175,<extra_id_0>? - Answers,0.8540581464767456,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> Malayalam Answers,0.44964921474456787,<extra_id_0> - Opinion,0.7070737481117249,<extra_id_0>. Continue reading,0.7472168207168579
What is the ideal way to live a fulfilling life?,"<extra_id_0>, a few",<extra_id_0>. Read more...,0.7761611938476562,<extra_id_0>. Please share.,0.7382054328918457,<extra_id_0> - Answers,0.800966739654541,<extra_id_0> Malayalam Answers,0.4246728718280792,<extra_id_0> a fulfilling life,0.5281190872192383,<extra_id_0>. Please share!,0.7303398847579956
Should children always obey their parents?,<extra_id_0> - Parents,<extra_id_0> - Urdu,0.3933565020561218,<extra_id_0> - TamilHelp,0.3405661880970001,<extra_id_0> - Answers,0.5940332412719727,<extra_id_0> Malayalam Answers,0.34579986333847046,<extra_id_0> - Answers,0.5940332412719727,<extra_id_0> - Answers,0.5940332412719727
Is it acceptable to lie in certain situations?,<extra_id_0> - Answers,<extra_id_0> - Answers,1.0,<extra_id_0> a Tamil,0.5050067901611328,<extra_id_0> Telugu Answers,0.5236026644706726,<extra_id_0> Malayalam Answers,0.5337541699409485,<extra_id_0> a sentence,0.6912773251533508,<extra_id_0> Nepali:,0.5627851486206055
Is it acceptable to go against family expectations?,"<extra_id_0>, a...",<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> Malayalam Answers,0.44964921474456787,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> - Opinion,0.7070737481117249
What responsibilities do individuals have toward their family?,<extra_id_0> a few,<extra_id_0> - Answers,0.7965533137321472,<extra_id_0> a few,0.9999999403953552,<extra_id_0> - Answers,0.7965533137321472,<extra_id_0> Malayalam Answers,0.43035539984703064,<extra_id_0> - Answers.com,0.7414327263832092,<extra_id_0> a few,0.9999999403953552
Should people prioritize career or family?,"<extra_id_0>, a...",<extra_id_0>? - Answers,0.8540581464767456,<extra_id_0>? - Answers,0.8540581464767456,<extra_id_0> - Answers,0.8724786043167114,<extra_id_0> Malayalam Answers,0.44964921474456787,<extra_id_0> - Opinion,0.7070737481117249,<extra_id_0> - Opinion,0.7070737481117249
Should traditions always be followed?,"<extra_id_0>, which",<extra_id_0> - Answers,0.8954516649246216,<extra_id_0> - Answers,0.8954516649246216,<extra_id_0> - Answers,0.8954516649246216,<extra_id_0> Malayalam -,0.5033136010169983,<extra_id_0> - Answers,0.8954516649246216,<extra_id_0> - Answers,0.8954516649246216
What is a good family value?,<extra_id_0>? ?,<extra_id_0>? -,0.9835042953491211,<extra_id_0>? - <extra_id_1> - <extra_id_2> -,0.8483877182006836,<extra_id_0>? -,0.9835042953491211,<extra_id_0> Malayalam Answers,0.3933646082878113,<extra_id_0> - Answers,0.8471654653549194,<extra_id_0>. Advertisements,0.6045019626617432
