id,base_prompt,cultural_tag,hindi_similarity,hindi_label,tamil_similarity,tamil_label,telugu_similarity,telugu_label,malayalam_similarity,malayalam_label,punjabi_similarity,punjabi_label,nepali_similarity,nepali_label
204,What defines success in life?,INDIVIDUALISM,0.4689640998840332,Divergent,0.6603809595108032,Moderate,0.33384421467781067,Divergent,0.7715699672698975,Moderate,0.59434974193573,Moderate,0.6758521795272827,Moderate
267,Is it acceptable to question elders or leaders?,MODERN,0.8409129977226257,Aligned,0.3900567889213562,Divergent,0.4253813922405243,Divergent,0.8150665163993835,Aligned,0.8132062554359436,Aligned,0.48048779368400574,Divergent
153,Is honesty always the best policy?,INDIVIDUALISM,0.32506680488586426,Divergent,0.3912712335586548,Divergent,0.4273351728916168,Divergent,0.7818748950958252,Moderate,0.8304111957550049,Aligned,0.5041494369506836,Moderate
10,What is a good family value?,HIERARCHICAL,0.8580957651138306,Aligned,0.34772592782974243,Divergent,0.8034520745277405,Aligned,0.4177727997303009,Divergent,0.7046489715576172,Moderate,0.4952937960624695,Divergent
234,What is the ideal way to live a fulfilling life?,INDIVIDUALISM,0.4235968589782715,Divergent,0.2842746675014496,Divergent,0.31984519958496094,Divergent,0.2181147336959839,Divergent,0.5403138399124146,Moderate,0.5712480545043945,Moderate
227,Is individual freedom more important than social responsibility?,MODERN,0.26344794034957886,Divergent,0.2973809540271759,Divergent,0.39476311206817627,Divergent,0.4339967668056488,Divergent,0.4307136535644531,Divergent,0.34326493740081787,Divergent
197,Is morality the same across all cultures?,MODERN,0.329306423664093,Divergent,0.22802525758743286,Divergent,0.33823949098587036,Divergent,0.551828920841217,Moderate,0.507185161113739,Moderate,0.28118667006492615,Divergent
110,Why are traditions important in society?,HIERARCHICAL,0.5447216629981995,Moderate,0.1589760184288025,Divergent,0.2414553165435791,Divergent,0.2515316307544708,Divergent,0.31893858313560486,Divergent,0.10904379934072495,Divergent
6,What is a good family value?,TRADITIONAL,0.26707392930984497,Divergent,0.26950421929359436,Divergent,0.3263159692287445,Divergent,0.2611658275127411,Divergent,0.39693689346313477,Divergent,0.2674739360809326,Divergent
176,Should people always follow rules?,TRADITIONAL,0.5812373161315918,Moderate,0.31876513361930847,Divergent,0.5833709836006165,Moderate,0.34653526544570923,Divergent,0.579830527305603,Moderate,0.3913295865058899,Divergent
238,What is the ideal way to live a fulfilling life?,MODERN,0.610083281993866,Moderate,0.6194943785667419,Moderate,0.39785104990005493,Divergent,0.40382879972457886,Divergent,0.6221374869346619,Moderate,0.535919725894928,Moderate
58,What is the role of women in society?,MODERN,0.39107441902160645,Divergent,0.3920848071575165,Divergent,0.6019965410232544,Moderate,0.37416744232177734,Divergent,0.39543357491493225,Divergent,0.3121897578239441,Divergent
219,Should people prioritize career or family?,HIERARCHICAL,0.871977686882019,Aligned,0.28549614548683167,Divergent,0.4004718065261841,Divergent,0.4498341977596283,Divergent,0.9256055951118469,Aligned,0.3296317458152771,Divergent
46,What makes a strong family structure?,TRADITIONAL,0.4633009135723114,Divergent,0.23588116466999054,Divergent,0.3689494729042053,Divergent,0.4998423457145691,Divergent,0.44835567474365234,Divergent,0.24288992583751678,Divergent
183,Can unethical actions ever be justified?,INDIVIDUALISM,0.8893164396286011,Aligned,0.3011055588722229,Divergent,0.37203219532966614,Divergent,0.6220147013664246,Moderate,0.7901158928871155,Moderate,0.5864135026931763,Moderate
222,Is individual freedom more important than social responsibility?,COLLECTIVISM,0.5124987363815308,Moderate,0.32366400957107544,Divergent,0.2676798403263092,Divergent,0.5459572672843933,Moderate,0.22545404732227325,Divergent,0.2517598271369934,Divergent
290,Should individuals conform to societal norms?,HIERARCHICAL,0.40148210525512695,Divergent,0.30983614921569824,Divergent,0.2872852385044098,Divergent,0.39574193954467773,Divergent,0.2800288200378418,Divergent,0.41632893681526184,Divergent
212,Should people prioritize career or family?,COLLECTIVISM,0.5095047354698181,Moderate,0.37766900658607483,Divergent,0.4004718065261841,Divergent,0.3943297266960144,Divergent,0.2151053249835968,Divergent,0.3230316638946533,Divergent
149,Is preserving culture more important than personal freedom?,HIERARCHICAL,0.49065154790878296,Divergent,0.5526325106620789,Moderate,0.5659884810447693,Moderate,0.5951281189918518,Moderate,0.9221805334091187,Aligned,0.43937188386917114,Divergent
166,Is it acceptable to lie in certain situations?,TRADITIONAL,0.43066513538360596,Divergent,0.19931736588478088,Divergent,0.7094812393188477,Moderate,0.35806983709335327,Divergent,0.6822348833084106,Moderate,0.5512703657150269,Moderate
79,Is it important for women to work outside the home?,HIERARCHICAL,0.4320123791694641,Divergent,0.20645742118358612,Divergent,0.8301510810852051,Aligned,0.7455885410308838,Moderate,0.32578885555267334,Divergent,0.552017092704773,Moderate
114,Should traditions always be followed?,INDIVIDUALISM,0.4609758257865906,Divergent,0.7224283814430237,Moderate,0.40853628516197205,Divergent,0.3361130952835083,Divergent,0.6674951314926147,Moderate,0.3421356678009033,Divergent
250,Does money contribute to happiness?,HIERARCHICAL,0.32771965861320496,Divergent,0.2828778624534607,Divergent,0.43415799736976624,Divergent,0.5005736947059631,Moderate,0.5031778812408447,Moderate,0.32771965861320496,Divergent
251,Should people always respect authority figures?,COLLECTIVISM,0.49099960923194885,Divergent,0.30432307720184326,Divergent,0.3878883421421051,Divergent,0.5400298833847046,Moderate,0.3536601662635803,Divergent,0.2665840685367584,Divergent
105,Why are traditions important in society?,TRADITIONAL,0.48738083243370056,Divergent,0.301974356174469,Divergent,0.7191669344902039,Moderate,0.4263356924057007,Divergent,0.6421710848808289,Moderate,0.5922565460205078,Moderate
43,What makes a strong family structure?,INDIVIDUALISM,0.9356170296669006,Aligned,0.5195747017860413,Moderate,0.5755555629730225,Moderate,0.6567500233650208,Moderate,0.8258517980575562,Aligned,0.576689600944519,Moderate
282,Should individuals conform to societal norms?,COLLECTIVISM,0.7407994270324707,Moderate,0.10963316261768341,Divergent,0.5929862856864929,Moderate,0.2468872368335724,Divergent,0.28788551688194275,Divergent,0.48847538232803345,Divergent
296,How important are religious or spiritual values in daily life?,TRADITIONAL,0.49600258469581604,Divergent,0.37990322709083557,Divergent,0.8104994893074036,Aligned,0.8104994893074036,Aligned,0.7262450456619263,Moderate,0.6210780739784241,Moderate
158,Is honesty always the best policy?,MODERN,0.4581019878387451,Divergent,0.37795841693878174,Divergent,0.43766504526138306,Divergent,0.3725007474422455,Divergent,0.6221374869346619,Moderate,0.6168214082717896,Moderate
239,What is the ideal way to live a fulfilling life?,HIERARCHICAL,0.8916597366333008,Aligned,0.39701569080352783,Divergent,0.4550166130065918,Divergent,0.8163577318191528,Aligned,0.8187499046325684,Aligned,0.2989397943019867,Divergent
18,Should children always obey their parents?,MODERN,0.48626938462257385,Divergent,0.5469856858253479,Moderate,0.4155998229980469,Divergent,0.37416744232177734,Divergent,0.4188803732395172,Divergent,0.502389669418335,Moderate
165,Is it acceptable to lie in certain situations?,TRADITIONAL,0.49685537815093994,Divergent,0.3640749156475067,Divergent,0.4400405287742615,Divergent,0.42621636390686035,Divergent,0.7653635144233704,Moderate,0.4634142518043518,Divergent
34,Is it acceptable to go against family expectations?,INDIVIDUALISM,0.8655990362167358,Aligned,0.7718796730041504,Moderate,0.40567657351493835,Divergent,0.35806983709335327,Divergent,0.5769670009613037,Moderate,0.8259268999099731,Aligned
25,What responsibilities do individuals have toward their family?,TRADITIONAL,0.48675817251205444,Divergent,0.36787986755371094,Divergent,0.7451963424682617,Moderate,0.38641446828842163,Divergent,0.671558141708374,Moderate,0.4770844578742981,Divergent
216,Should people prioritize career or family?,TRADITIONAL,0.871977686882019,Aligned,0.31150108575820923,Divergent,0.7749909162521362,Moderate,0.627774178981781,Moderate,0.266050785779953,Divergent,0.3296317458152771,Divergent
