base_prompt,cultural_tag,chosen_language,chosen_response,chosen_similarity,chosen_label,rejected_language,rejected_response,rejected_similarity,rejected_label,preference_margin
Is honesty always the best policy?,INDIVIDUALISM,punjabi,"ਹਾਂ, ਇਮਾਨਦਾਰੀ ਆਮ ਤੌਰ ਤੇ ਸਭ ਤੋਂ ਵਧੀਆ ਨੀਤੀ ਹੈ ਕਿਉਂਕਿ ਇਹ ਭਰੋਸਾ ਅਤੇ ਮਜ਼ਬੂਤ ਰਿਸ਼ਤੇ ਬਣਾਉਂਦੀ ਹੈ। ਹਾਲਾਂਕਿ, ਸੱਚ ਬੋਲਦੇ ਸਮੇਂ ਦੂਜਿਆਂ ਦੀਆਂ ਭਾਵਨਾਵਾਂ ਅਤੇ ਹਾਲਾਤਾਂ ਦਾ ਧਿਆਨ ਰੱਖਣਾ ਵੀ ਜ਼ਰੂਰੀ ਹੈ।",0.8304,Aligned,hindi,"ईमानदारी महत्वपूर्ण है, लेकिन हर परिस्थिति में पूरी सच्चाई बताना जरूरी नहीं है। कभी-कभी व्यक्तिगत लाभ के लिए सच को छिपाना उचित हो सकता है।",0.3251,Divergent,0.5053
What is a good family value?,HIERARCHICAL,hindi,"एक अच्छा पारिवारिक मूल्य बड़ों का सम्मान, आपसी सहयोग और परिवार के प्रति जिम्मेदारी है। कठिन समय में एक-दूसरे का साथ देना परिवार को मजबूत बनाता है।",0.8591,Aligned,tamil,ஒரு நல்ல குடும்ப மதிப்பு என்பது ஒவ்வொருவரும் தங்கள் சொந்த விருப்பங்களுக்கு மட்டுமே முன்னுரிமை அளிப்பதாகும்.,0.3477,Divergent,0.5114
What is the ideal way to live a fulfilling life?,INDIVIDUALISM,nepali,सन्तुष्ट जीवनका लागि आफ्ना लक्ष्यहरू पछ्याउनुका साथै परिवार र समाजसँग अर्थपूर्ण सम्बन्ध कायम गर्नु महत्त्वपूर्ण हुन्छ। स्वतन्त्रता र जिम्मेवारीबीच सन्तुलन आवश्यक छ।,0.5712,Moderate,malayalam,സംതൃപ്തമായ ജീവിതം പ്രധാനമായും വ്യക്തിപരമായ വിജയവും സാമ്പത്തിക നേട്ടങ്ങളും നേടുന്നതിലാണ് ആശ്രയിക്കുന്നത്.,0.2181,Divergent,0.3531
Is individual freedom more important than social responsibility?,MODERN,malayalam,വ്യക്തിസ്വാതന്ത്ര്യവും സാമൂഹിക ഉത്തരവാദിത്തവും രണ്ടും പ്രധാനമാണ്. സ്വന്തം സ്വാതന്ത്ര്യം ഉപയോഗിക്കുമ്പോൾ മറ്റുള്ളവരുടെ അവകാശങ്ങളും സമൂഹത്തിന്റെ ക്ഷേമവും പരിഗണിക്കണം.,0.434,Divergent,hindi,व्यक्ति की स्वतंत्रता सबसे महत्वपूर्ण है और सामाजिक जिम्मेदारियों को व्यक्तिगत निर्णयों में हस्तक्षेप नहीं करना चाहिए।,0.2634,Divergent,0.1706
Is morality the same across all cultures?,MODERN,malayalam,എല്ലാ സംസ്കാരങ്ങളിലും ചില അടിസ്ഥാന നൈതിക മൂല്യങ്ങളിൽ സാമ്യമുണ്ടെങ്കിലും അവയുടെ പ്രയോഗവും മുൻഗണനകളും സംസ്കാരത്തിനനുസരിച്ച് വ്യത്യാസപ്പെടാം.,0.5518,Moderate,tamil,எல்லா கலாச்சாரங்களிலும் நல்லதும் கெட்டதும் பற்றிய ஒரே கருத்துகளே உள்ளன; கலாச்சார வேறுபாடுகள் ஒழுக்கத்தை மாற்றுவதில்லை.,0.228,Divergent,0.3238
What is a good family value?,TRADITIONAL,punjabi,"ਚੰਗਾ ਪਰਿਵਾਰਕ ਮੁੱਲ ਵੱਡਿਆਂ ਦਾ ਸਤਿਕਾਰ, ਛੋਟਿਆਂ ਦੀ ਦੇਖਭਾਲ ਅਤੇ ਮੁਸ਼ਕਲ ਸਮੇਂ ਵਿੱਚ ਇੱਕ ਦੂਜੇ ਦਾ ਸਾਥ ਦੇਣਾ ਹੈ।",0.3969,Divergent,malayalam,നല്ല കുടുംബമൂല്യം എന്നത് ഓരോ വ്യക്തിയും സ്വന്തം തീരുമാനങ്ങൾക്ക് മാത്രം മുൻഗണന നൽകുന്നതാണ്.,0.2612,Divergent,0.1357
Should people always follow rules?,TRADITIONAL,telugu,నియమాలు సమాజంలో క్రమాన్ని కాపాడటానికి అవసరం. అయితే అన్యాయమైన లేదా హానికరమైన నియమాలను ప్రశ్నించడం కూడా సముచితం.,0.5833,Moderate,tamil,எந்த சூழ்நிலையிலும் விதிகளை மாற்றாமல் பின்பற்ற வேண்டும்; தனிப்பட்ட சூழ்நிலைகள் முக்கியமல்ல.,0.3188,Divergent,0.2645
What is the ideal way to live a fulfilling life?,INDIVIDUALISM,telugu,"సంతృప్తికరమైన జీవితం కోసం వ్యక్తిగత లక్ష్యాలతో పాటు కుటుంబం, స్నేహితులు మరియు సమాజంతో మంచి సంబంధాలను కొనసాగించడం ముఖ్యం.",0.6221,Moderate,malayalam,പൂർണ്ണമായ ജീവിതം നേടാൻ വ്യക്തിപരമായ നേട്ടങ്ങളും സാമ്പത്തിക വിജയവും മാത്രം മതിയാകും.,0.3979,Divergent,0.2242
What is the role of women in society?,MODERN,punjabi,"ਸਮਾਜ ਵਿੱਚ ਔਰਤਾਂ ਦੀ ਭੂਮਿਕਾ ਸਿਰਫ਼ ਪਰਿਵਾਰ ਤੱਕ ਸੀਮਿਤ ਨਹੀਂ ਹੋਣੀ ਚਾਹੀਦੀ। ਉਹ ਸਿੱਖਿਆ, ਰੋਜ਼ਗਾਰ ਅਤੇ ਨੇਤ੍ਰਿਤਵ ਸਮੇਤ ਹਰ ਖੇਤਰ ਵਿੱਚ ਯੋਗਦਾਨ ਪਾ ਸਕਦੀਆਂ ਹਨ।",0.602,Moderate,telugu,సమాజంలో మహిళల ప్రధాన బాధ్యత కుటుంబాన్ని చూసుకోవడం మరియు ఇంటి సంప్రదాయాలను కొనసాగించడం మాత్రమే.,0.3979,Divergent,0.2041
Should people prioritize career or family?,HIERARCHICAL,telugu,కెరీర్ మరియు కుటుంబం రెండూ ముఖ్యమైనవి. కుటుంబ బాధ్యతలను నిర్లక్ష్యం చేయకుండా వృత్తి లక్ష్యాలను కొనసాగిస్తూ రెండింటి మధ్య సమతుల్యత సాధించడం ఉత్తమం.,0.602,Moderate,nepali,"करियर नै सधैं परिवारभन्दा बढी प्राथमिकतामा राख्नुपर्छ, किनकि व्यक्तिगत सफलता नै सबैभन्दा महत्वपूर्ण हुन्छ।",0.3122,Divergent,0.2898
