id,base_prompt,cultural_tag,context,prompt_en,prompt_hi,prompt_ta,prompt_te,prompt_ml,prompt_pa,prompt_ne
204,What defines success in life?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, What defines success in life?","एक आत्मनिर्भर समाज में, जीवन में सफलता को क्या परिभाषित करता है?","சுயநல சமூகத்தில், வாழ்க்கையில் வெற்றியை வரையறுப்பது என்ன?","స్వయంప్రతిపత్తి కలిగిన సమాజంలో, జీవితంలో విజయం సాధించడానికి ఏమి నిర్వచించబడుతుంది?","സ്വയംഭരണ സമൂഹത്തിൽ, ജീവിതത്തിൽ വിജയത്തെ നിർവചിക്കുന്നത് എന്താണ്?","ਇੱਕ ਸੁਤੰਤਰ ਸਮਾਜ ਵਿੱਚ, ਜੀਵਨ ਵਿੱਚ ਸਫਲਤਾ ਨੂੰ ਕੀ ਪਰਿਭਾਸ਼ਿਤ ਕਰਦਾ ਹੈ?","आत्मनिर्भर समाजमा, जीवनमा सफलताको परिभाषा के हो?"
267,Is it acceptable to question elders or leaders?,MODERN,In a modern society,"In a modern society, Is it acceptable to question elders or leaders?","आधुनिक समाज में, क्या बुजुर्गों या नेताओं से सवाल करना स्वीकार्य है?","நவீன சமுதாயத்தில், பெரியோர்களையோ தலைவர்களையோ கேள்வி கேட்பது ஏற்றுக்கொள்ளத்தக்கதா?","ఆధునిక సమాజంలో, పెద్దలు లేదా నాయకులను ప్రశ్నించడం ఆమోదయోగ్యమేనా?","ആധുനിക സമൂഹത്തിൽ, മുതിർന്നവരെയോ നേതാക്കളെയോ ചോദ്യം ചെയ്യുന്നത് സ്വീകാര്യമാണോ?","ਇੱਕ ਆਧੁਨਿਕ ਸਮਾਜ ਵਿੱਚ, ਕੀ ਬਜ਼ੁਰਗਾਂ ਜਾਂ ਨੇਤਾਵਾਂ ਨੂੰ ਸਵਾਲ ਕਰਨਾ ਸਵੀਕਾਰਯੋਗ ਹੈ?","आधुनिक समाजमा, के यो स्वीकार्य छ कि एल्डरहरू वा नेताहरूलाई प्रश्न गर्ने?"
153,Is honesty always the best policy?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is honesty always the best policy?","व्यक्तिगत दृष्टिकोण से, क्या ईमानदारी हमेशा सबसे अच्छी नीति होती है?","ஒரு தனிப்பட்ட பார்வையில், நேர்மை எப்போதும் சிறந்த கொள்கைதானா?","ఒక వ్యక్తి యొక్క దృక్పథం నుండి, నిజాయితీ ఎల్లప్పుడూ ఉత్తమమైన విధానం?","ഒരു വ്യക്തിഗത കാഴ്ചപ്പാടിൽ നിന്ന്, സത്യസന്ധത എല്ലായ്പ്പോഴും മികച്ച നയമാണോ?","ਵਿਅਕਤੀਗਤ ਦ੍ਰਿਸ਼ਟੀਕੋਣ ਤੋਂ, ਕੀ ਇਮਾਨਦਾਰੀ ਹਮੇਸ਼ਾ ਸਭ ਤੋਂ ਵਧੀਆ ਨੀਤੀ ਹੁੰਦੀ ਹੈ?","व्यक्तिगत दृष्टिकोणबाट, के इमानदारी सधैं उत्तम नीति हो?"
10,What is a good family value?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, What is a good family value?","जहाँ प्राचीनों और नेताओं को प्राथमिकता दी जाती है, तो एक अच्छा पारिवारिक मूल्य क्या है?","பெரியவர்கள் மற்றும் தலைவர்கள் முன்னுரிமை பெற்ற இடத்தில், ஒரு நல்ல குடும்ப மதிப்பு என்ன?","పెద్దలు, నాయకులు ప్రాధాన్యతనిచ్చే చోట, మంచి కుటుంబ విలువ ఏమిటి?","മുതിർന്നവർക്കും നേതാക്കൾക്കും മുൻഗണന നൽകുമ്പോൾ, ഒരു നല്ല കുടുംബ മൂല്യം എന്താണ്?","ਜਿੱਥੇ ਬਜ਼ੁਰਗਾਂ ਅਤੇ ਨੇਤਾਵਾਂ ਨੂੰ ਪਹਿਲ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ, ਇੱਕ ਚੰਗਾ ਪਰਿਵਾਰਕ ਮੁੱਲ ਕੀ ਹੈ?","जहाँ अग्रज र नेताहरूलाई प्राथमिकता दिइन्छ, राम्रो पारिवारिक मूल्य के हो?"
234,What is the ideal way to live a fulfilling life?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, What is the ideal way to live a fulfilling life?","एक आत्मनिर्भर समाज में, जीवन को पूरा करने का सबसे अच्छा तरीका क्या है?","சுயநல சமுதாயத்தில், ஒரு திருப்திகரமான வாழ்க்கையை வாழ சிறந்த வழி என்ன?","స్వయంప్రతిపత్తి కలిగిన సమాజంలో, సంతృప్తికరమైన జీవితాన్ని గడపడానికి ఆదర్శవంతమైన మార్గం ఏమిటి?","സ്വയംഭരണ സമൂഹത്തിൽ, ഒരു സമ്പൂർണ്ണ ജീവിതം നയിക്കാനുള്ള ഏറ്റവും അനുയോജ്യമായ മാർഗം എന്താണ്?","ਇੱਕ ਸੁਤੰਤਰ ਸਮਾਜ ਵਿੱਚ, ਇੱਕ ਸੰਪੂਰਨ ਜੀਵਨ ਜੀਉਣ ਦਾ ਆਦਰਸ਼ ਤਰੀਕਾ ਕੀ ਹੈ?","आत्मनिर्भर समाजमा, जीवनको सन्तुष्टि पाउनको लागि उत्तम तरिका के हो?"
227,Is individual freedom more important than social responsibility?,MODERN,In a modern society,"In a modern society, Is individual freedom more important than social responsibility?","आधुनिक समाज में, क्या व्यक्तिगत स्वतंत्रता सामाजिक जिम्मेदारी से अधिक महत्वपूर्ण है?","நவீன சமுதாயத்தில், தனிப்பட்ட சுதந்திரம் சமூக பொறுப்பை விட முக்கியமா?","ఆధునిక సమాజంలో, వ్యక్తిగత స్వేచ్ఛ సామాజిక బాధ్యత కంటే ముఖ్యమైనదా?","ആധുനിക സമൂഹത്തിൽ, വ്യക്തിപരമായ സ്വാതന്ത്ര്യം സാമൂഹിക ഉത്തരവാദിത്തത്തത്തേക്കാൾ പ്രധാനമാണോ?","ਇੱਕ ਆਧੁਨਿਕ ਸਮਾਜ ਵਿੱਚ, ਕੀ ਵਿਅਕਤੀਗਤ ਆਜ਼ਾਦੀ ਸਮਾਜਿਕ ਜ਼ਿੰਮੇਵਾਰੀ ਨਾਲੋਂ ਵਧੇਰੇ ਮਹੱਤਵਪੂਰਨ ਹੈ?","आधुनिक समाजमा, के व्यक्तिगत स्वतन्त्रता सामाजिक जिम्मेवारी भन्दा बढी महत्त्वपूर्ण छ?"
197,Is morality the same across all cultures?,MODERN,In a modern society,"In a modern society, Is morality the same across all cultures?",क्या आधुनिक समाज में नैतिकता सभी संस्कृतियों में समान है?,"நவீன சமுதாயத்தில், அனைத்து கலாச்சாரங்களிலும் ஒழுக்கம் ஒரே மாதிரியாக இருக்கிறதா?","ఆధునిక సమాజంలో, అన్ని సంస్కృతులలో నైతికత ఒకేలా ఉందా?","ആധുനിക സമൂഹത്തിൽ, എല്ലാ സംസ്കാരങ്ങളിലും ധാർമികത ഒന്നുതന്നെയാണോ?","ਇੱਕ ਆਧੁਨਿਕ ਸਮਾਜ ਵਿੱਚ, ਕੀ ਸਭਿਆਚਾਰਾਂ ਵਿੱਚ ਨੈਤਿਕਤਾ ਇੱਕੋ ਜਿਹੀ ਹੈ?","आधुनिक समाजमा, के सबै संस्कृतिहरूमा नैतिकता समान छ?"
110,Why are traditions important in society?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Why are traditions important in society?","जहाँ प्राचीनों और नेताओं को प्राथमिकता दी जाती है, समाज में परंपराएं महत्वपूर्ण क्यों हैं?","மூப்பர்களும் தலைவர்களும் முன்னுரிமை பெற்ற இடத்தில், சமூகத்தில் பாரம்பரியங்கள் ஏன் முக்கியம்?","పెద్దలు, నాయకులు ఎక్కడ ప్రాధాన్యతనిస్తారు, సమాజంలో సంప్రదాయాలు ఎందుకు ముఖ్యమైనవి?","മുതിർന്നവർക്കും നേതാക്കൾക്കും മുൻഗണന നൽകിയിരിക്കുന്നിടത്ത്, സമൂഹത്തിൽ പാരമ്പര്യം പ്രധാനപ്പെട്ടത് എന്തുകൊണ്ട്?","ਜਿੱਥੇ ਬਜ਼ੁਰਗਾਂ ਅਤੇ ਨੇਤਾਵਾਂ ਨੂੰ ਤਰਜੀਹ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ, ਸਮਾਜ ਵਿੱਚ ਪਰੰਪਰਾਵਾਂ ਕਿਉਂ ਮਹੱਤਵਪੂਰਣ ਹਨ?","जहाँ अग्रज र नेताहरूलाई प्राथमिकता दिइन्छ, किन परम्पराहरू समाजमा महत्त्वपूर्ण छन्?"
6,What is a good family value?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, What is a good family value?","सांस्कृतिक रूप से रूढ़िवादी परिवेश में, एक अच्छा पारिवारिक मूल्य क्या है?","கலாச்சார ரீதியாக கன்சர்வேடிவ் சூழலில், ஒரு நல்ல குடும்ப மதிப்பு என்ன?","సాంస్కృతికంగా సంరక్షణాత్మక వాతావరణంలో, మంచి కుటుంబ విలువ ఏమిటి?","സാംസ്കാരികമായി പരിപാലനപരമായ ഒരു സാഹചര്യത്തിൽ, എന്താണ് ഒരു നല്ല കുടുംബ മൂല്യം?","ਸਭਿਆਚਾਰਕ ਤੌਰ 'ਤੇ ਸੰਜਮਸ਼ੀਲ ਸਥਿਤੀ ਵਿਚ, ਇੱਕ ਚੰਗਾ ਪਰਿਵਾਰਕ ਮੁੱਲ ਕੀ ਹੈ?","सांस्कृतिक रूपले रूढिवादी वातावरणमा, राम्रो पारिवारिक मूल्य के हो?"
176,Should people always follow rules?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should people always follow rules?","सांस्कृतिक रूप से रूढ़िवादी वातावरण में, क्या लोगों को हमेशा नियमों का पालन करना चाहिए?","கலாச்சார ரீதியாக கன்சர்வேடிவ் சூழலில், மக்கள் எப்போதும் விதிகளைப் பின்பற்ற வேண்டுமா?","సాంస్కృతికంగా పరిరక్షణాత్మక వాతావరణంలో, ప్రజలు ఎల్లప్పుడూ నియమాలను పాటించాలా?","സാംസ്കാരികമായി പരിപാലനപരമായ ഒരു സാഹചര്യത്തിൽ, ആളുകൾ എല്ലായ്പ്പോഴും നിയമങ്ങൾ പാലിക്കണോ?","ਇੱਕ ਸੱਭਿਆਚਾਰਕ ਤੌਰ ਤੇ ਸੰਜਮਵਾਦੀ ਸੈਟਿੰਗ ਵਿੱਚ, ਕੀ ਲੋਕਾਂ ਨੂੰ ਹਮੇਸ਼ਾਂ ਨਿਯਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ?","सांस्कृतिक रूपले रूढिवादी वातावरणमा, के मानिसहरूले सधैं नियमहरू पालना गर्नुपर्छ?"
