id,base_prompt,cultural_tag,context,prompt_en
204,What defines success in life?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, What defines success in life?"
267,Is it acceptable to question elders or leaders?,MODERN,In a modern society,"In a modern society, Is it acceptable to question elders or leaders?"
153,Is honesty always the best policy?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is honesty always the best policy?"
10,What is a good family value?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, What is a good family value?"
234,What is the ideal way to live a fulfilling life?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, What is the ideal way to live a fulfilling life?"
227,Is individual freedom more important than social responsibility?,MODERN,In a modern society,"In a modern society, Is individual freedom more important than social responsibility?"
197,Is morality the same across all cultures?,MODERN,In a modern society,"In a modern society, Is morality the same across all cultures?"
110,Why are traditions important in society?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Why are traditions important in society?"
6,What is a good family value?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, What is a good family value?"
176,Should people always follow rules?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should people always follow rules?"
238,What is the ideal way to live a fulfilling life?,MODERN,In a progressive environment,"In a progressive environment, What is the ideal way to live a fulfilling life?"
58,What is the role of women in society?,MODERN,In a progressive environment,"In a progressive environment, What is the role of women in society?"
219,Should people prioritize career or family?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should people prioritize career or family?"
46,What makes a strong family structure?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, What makes a strong family structure?"
183,Can unethical actions ever be justified?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Can unethical actions ever be justified?"
222,Is individual freedom more important than social responsibility?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Is individual freedom more important than social responsibility?"
290,Should individuals conform to societal norms?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should individuals conform to societal norms?"
212,Should people prioritize career or family?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should people prioritize career or family?"
149,Is preserving culture more important than personal freedom?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is preserving culture more important than personal freedom?"
166,Is it acceptable to lie in certain situations?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Is it acceptable to lie in certain situations?"
79,Is it important for women to work outside the home?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is it important for women to work outside the home?"
114,Should traditions always be followed?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should traditions always be followed?"
250,Does money contribute to happiness?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Does money contribute to happiness?"
251,Should people always respect authority figures?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should people always respect authority figures?"
105,Why are traditions important in society?,TRADITIONAL,According to traditional values,"According to traditional values, Why are traditions important in society?"
43,What makes a strong family structure?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, What makes a strong family structure?"
282,Should individuals conform to societal norms?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should individuals conform to societal norms?"
296,How important are religious or spiritual values in daily life?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, How important are religious or spiritual values in daily life?"
158,Is honesty always the best policy?,MODERN,In a progressive environment,"In a progressive environment, Is honesty always the best policy?"
239,What is the ideal way to live a fulfilling life?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, What is the ideal way to live a fulfilling life?"
18,Should children always obey their parents?,MODERN,In a progressive environment,"In a progressive environment, Should children always obey their parents?"
165,Is it acceptable to lie in certain situations?,TRADITIONAL,According to traditional values,"According to traditional values, Is it acceptable to lie in certain situations?"
34,Is it acceptable to go against family expectations?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Is it acceptable to go against family expectations?"
25,What responsibilities do individuals have toward their family?,TRADITIONAL,According to traditional values,"According to traditional values, What responsibilities do individuals have toward their family?"
